product,totalcost,product_quantity,postedRole,created
Campanulaceae,80.62,44,Farmer,2019-01-08T11:27:55Z
Rhamnaceae,49.30,95,Supplier,2019-02-22T14:42:09Z
Commelinaceae,97.73,54,Supplier,2019-04-11T15:31:32Z
Asteraceae,1.82,39,Farmer,2018-09-13T16:46:05Z
Euphorbiaceae,11.52,38,Farmer,2018-09-20T01:21:23Z
Onagraceae,65.67,40,Supplier,2018-12-09T02:16:52Z
Fabaceae,72.75,47,Retailer,2019-04-05T09:37:43Z
Brassicaceae,67.95,38,Farmer,2018-11-01T06:51:49Z
Amaranthaceae,94.74,23,Farmer,2019-01-10T16:23:59Z
Fabaceae,38.55,89,Retailer,2018-12-05T16:01:51Z
Fabaceae,0.94,59,Farmer,2018-08-24T21:45:13Z
Betulaceae,95.74,56,Supplier,2019-01-13T02:36:10Z
Cyperaceae,67.04,70,Supplier,2018-07-13T21:43:06Z
Asteraceae,95.74,18,Supplier,2018-08-23T07:50:22Z
Orthotrichaceae,79.96,3,Farmer,2018-05-30T00:45:28Z
Fabaceae,55.52,30,Retailer,2019-03-16T19:42:10Z
Ranunculaceae,85.57,70,Retailer,2019-04-06T20:13:40Z
Loasaceae,17.28,98,Supplier,2018-12-09T17:11:26Z
Brassicaceae,48.17,12,Farmer,2018-09-24T11:20:35Z
Scrophulariaceae,22.66,70,Retailer,2018-10-31T23:30:13Z
Ramalinaceae,18.30,91,Retailer,2019-02-21T00:56:49Z
Peltigeraceae,70.31,48,Supplier,2018-12-30T21:09:19Z
Polygonaceae,78.66,89,Supplier,2018-07-27T17:48:07Z
Grammitidaceae,29.68,25,Retailer,2018-09-05T09:34:01Z
Rubiaceae,86.76,68,Farmer,2018-09-24T09:17:08Z
Rhizophoraceae,99.03,45,Farmer,2019-01-10T06:36:51Z
Onagraceae,61.72,87,Retailer,2019-03-18T16:46:24Z
Asteraceae,98.59,60,Farmer,2018-09-29T11:50:09Z
Lamiaceae,17.90,33,Farmer,2018-12-11T16:49:10Z
Fabaceae,21.81,95,Supplier,2019-02-04T15:13:59Z
Polygonaceae,69.09,18,Supplier,2018-09-20T09:56:12Z
Equisetaceae,6.10,42,Farmer,2018-09-14T17:16:00Z
Cyperaceae,50.71,79,Retailer,2019-01-01T15:12:16Z
Apiaceae,96.22,51,Supplier,2018-11-02T14:34:08Z
Asteraceae,9.66,12,Supplier,2018-11-13T00:55:58Z
Caryophyllaceae,60.97,97,Retailer,2018-12-17T23:58:57Z
Cyperaceae,97.20,55,Farmer,2018-07-10T21:07:40Z
Bryaceae,97.89,45,Supplier,2019-02-17T15:07:33Z
Pteridaceae,87.91,15,Retailer,2018-09-15T02:39:30Z
Rosaceae,80.95,18,Supplier,2018-08-21T22:04:01Z
Malvaceae,45.27,16,Supplier,2018-09-27T13:42:21Z
Chenopodiaceae,48.62,29,Farmer,2019-01-20T14:47:36Z
Saxifragaceae,69.41,56,Farmer,2018-06-01T01:35:38Z
Fabaceae,54.95,65,Retailer,2018-09-02T05:57:33Z
Asteraceae,49.58,57,Supplier,2018-07-25T20:52:15Z
Porpidiaceae,92.77,7,Supplier,2019-03-14T01:47:08Z
Cuscutaceae,22.16,30,Farmer,2018-10-17T04:02:48Z
Asteraceae,11.25,19,Farmer,2018-09-06T03:18:05Z
Fabaceae,92.42,19,Retailer,2019-04-11T01:31:16Z
Cyperaceae,23.74,3,Farmer,2018-11-04T19:32:35Z
Portulacaceae,8.97,59,Farmer,2019-01-31T11:04:15Z
Caryophyllaceae,77.39,76,Retailer,2019-03-09T01:45:00Z
Fabaceae,15.16,6,Retailer,2018-12-02T22:25:28Z
Fabaceae,8.44,12,Supplier,2019-01-13T12:07:35Z
